Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 64,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2020,
        "test_year": 2021,
        "window": 64,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 12, train_loss 0.001979, train_ic 0.016192, train_icir 0.196211, train_ric -0.012762, train_ricir -0.095410, train_mae 0.021993, train_rmse 0.027683, train_mape 220.357773, train_acc 0.311988, valid_loss 0.0055905780, valid_ic -0.007418, valid_icir -0.116011, valid_ric -0.012261, valid_ricir -0.094036, valid_prec@10 0.647325, valid_prec@30 0.593964, valid_mae 0.032294, valid_rmse 0.087414, valid_mape 345.254211, valid_acc 0.642058, test_loss 0.009292, ic 0.005305, icir 0.053992, ric -0.004527, ricir -0.034615, prec@10 0.595885, prec@30 0.595336, test_mae 0.035394, test_rmse 0.097516, test_mape 697.849243, test_acc 0.555506
Epoch 13, train_loss 0.001896, train_ic 0.014041, train_icir 0.199220, train_ric 0.007745, train_ricir 0.062325, train_mae 0.022317, train_rmse 0.034414, train_mape 242.292313, train_acc 0.342152, valid_loss 0.0048844919, valid_ic -0.007979, valid_icir -0.143285, valid_ric -0.002965, valid_ricir -0.023259, valid_prec@10 0.615638, valid_prec@30 0.585460, valid_mae 0.030127, valid_rmse 0.082329, valid_mape 318.843994, valid_acc 0.677355, test_loss 0.008292, ic 0.004195, icir 0.045865, ric 0.007052, ricir 0.059095, prec@10 0.572016, prec@30 0.581070, test_mae 0.032263, test_rmse 0.091645, test_mape 629.055969, test_acc 0.593625
Epoch 14, train_loss 0.001768, train_ic 0.014719, train_icir 0.318247, train_ric 0.007309, train_ricir 0.091132, train_mae 0.017559, train_rmse 0.029329, train_mape 288.376221, train_acc 0.465235, valid_loss 0.0043410224, valid_ic -0.002934, valid_icir -0.070707, valid_ric 0.004951, valid_ricir 0.089100, valid_prec@10 0.545679, valid_prec@30 0.540055, valid_mae 0.034180, valid_rmse 0.080498, valid_mape 327.474884, valid_acc 0.230425, test_loss 0.007529, ic 0.004142, icir 0.051742, ric -0.003923, ricir -0.086471, prec@10 0.533745, prec@30 0.527435, test_mae 0.032414, test_rmse 0.087989, test_mape 575.272339, test_acc 0.373830
Epoch 15, train_loss 0.001720, train_ic 0.005793, train_icir 0.089262, train_ric -0.010922, train_ricir -0.098225, train_mae 0.027499, train_rmse 0.037374, train_mape 500.146973, train_acc 0.473714, valid_loss 0.0045593630, valid_ic 0.000446, valid_icir 0.012339, valid_ric 0.000699, valid_ricir 0.005922, valid_prec@10 0.539506, valid_prec@30 0.530178, valid_mae 0.044961, valid_rmse 0.082561, valid_mape 495.202789, valid_acc 0.219985, test_loss 0.007471, ic 0.003275, icir 0.048534, ric -0.018791, ricir -0.179503, prec@10 0.523868, prec@30 0.506310, test_mae 0.039851, test_rmse 0.087484, test_mape 728.566528, test_acc 0.369371
Epoch 16, train_loss 0.001647, train_ic 0.020618, train_icir 0.307556, train_ric -0.003229, train_ricir -0.026380, train_mae 0.018760, train_rmse 0.028193, train_mape 149.122849, train_acc 0.533162, valid_loss 0.0041138110, valid_ic -0.006876, valid_icir -0.148474, valid_ric -0.002267, valid_ricir -0.027166, valid_prec@10 0.641564, valid_prec@30 0.594239, valid_mae 0.025462, valid_rmse 0.073171, valid_mape 275.734161, valid_acc 0.732041, test_loss 0.006713, ic 0.004522, icir 0.056394, ric -0.008722, ricir -0.110060, prec@10 0.600000, prec@30 0.591221, test_mae 0.028474, test_rmse 0.080627, test_mape 524.211609, test_acc 0.589389
Epoch 17, train_loss 0.001598, train_ic 0.012040, train_icir 0.229964, train_ric -0.010997, train_ricir -0.114820, train_mae 0.013787, train_rmse 0.025615, train_mape 129.475632, train_acc 0.566733, valid_loss 0.0034847656, valid_ic -0.004076, valid_icir -0.096102, valid_ric -0.005598, valid_ricir -0.079458, valid_prec@10 0.567078, valid_prec@30 0.540466, valid_mae 0.024728, valid_rmse 0.070511, valid_mape 221.452515, valid_acc 0.682327, test_loss 0.006069, ic 0.004027, icir 0.051455, ric -0.009793, ricir -0.151899, prec@10 0.543621, prec@30 0.534979, test_mae 0.026129, test_rmse 0.077557, test_mape 414.936890, test_acc 0.567766
Epoch 18, train_loss 0.001523, train_ic 0.007979, train_icir 0.146332, train_ric -0.002227, train_ricir -0.021403, train_mae 0.058893, train_rmse 0.068101, train_mape 134.253891, train_acc 0.121664, valid_loss 0.0034633163, valid_ic -0.003602, valid_icir -0.108871, valid_ric -0.001516, valid_ricir -0.013071, valid_prec@10 0.538272, valid_prec@30 0.537723, valid_mae 0.022791, valid_rmse 0.067580, valid_mape 285.147675, valid_acc 0.740492, test_loss 0.005908, ic 0.003090, icir 0.045989, ric -0.011832, ricir -0.110674, prec@10 0.535391, prec@30 0.522497, test_mae 0.028279, test_rmse 0.075642, test_mape 582.820923, test_acc 0.590950
Epoch 19, train_loss 0.001484, train_ic 0.005507, train_icir 0.099989, train_ric -0.000193, train_ricir -0.002039, train_mae 0.059399, train_rmse 0.078510, train_mape 114.725159, train_acc 0.111946, valid_loss 0.0032820773, valid_ic -0.005166, valid_icir -0.120281, valid_ric -0.006540, valid_ricir -0.080799, valid_prec@10 0.572840, valid_prec@30 0.527023, valid_mae 0.033364, valid_rmse 0.070384, valid_mape 333.997620, valid_acc 0.193637, test_loss 0.005593, ic 0.003627, icir 0.047452, ric 0.010596, ricir 0.115232, prec@10 0.533745, prec@30 0.528944, test_mae 0.030104, test_rmse 0.074819, test_mape 510.512299, test_acc 0.365359
Epoch 20, train_loss 0.001488, train_ic 0.017710, train_icir 0.256433, train_ric 0.021469, train_ricir 0.195018, train_mae 0.020751, train_rmse 0.029800, train_mape 178.971909, train_acc 0.292812, valid_loss 0.0030584411, valid_ic -0.001702, valid_icir -0.049444, valid_ric 0.013063, valid_ricir 0.133818, valid_prec@10 0.532099, valid_prec@30 0.517284, valid_mae 0.023025, valid_rmse 0.064673, valid_mape 239.103958, valid_acc 0.677604, test_loss 0.005263, ic 0.004065, icir 0.061646, ric 0.001535, ricir 0.017642, prec@10 0.534568, prec@30 0.515364, test_mae 0.024995, test_rmse 0.071100, test_mape 425.673737, test_acc 0.562193
Epoch 21, train_loss 0.001420, train_ic 0.008064, train_icir 0.123981, train_ric -0.025427, train_ricir -0.228429, train_mae 0.024327, train_rmse 0.034308, train_mape 116.726181, train_acc 0.632578, valid_loss 0.0029622801, valid_ic -0.000875, valid_icir -0.022352, valid_ric -0.016598, valid_ricir -0.174488, valid_prec@10 0.552263, valid_prec@30 0.525514, valid_mae 0.027948, valid_rmse 0.065341, valid_mape 261.504913, valid_acc 0.343525, test_loss 0.005060, ic 0.003670, icir 0.053707, ric -0.023763, ricir -0.277256, prec@10 0.541152, prec@30 0.513717, test_mae 0.025266, test_rmse 0.069868, test_mape 382.114471, test_acc 0.465894
Epoch 22, train_loss 0.001416, train_ic 0.008298, train_icir 0.096757, train_ric 0.010009, train_ricir 0.092450, train_mae 0.033759, train_rmse 0.041972, train_mape 211.017990, train_acc 0.351546, valid_loss 0.0029654343, valid_ic -0.008101, valid_icir -0.141783, valid_ric -0.005350, valid_ricir -0.045424, valid_prec@10 0.543621, valid_prec@30 0.515226, valid_mae 0.025739, valid_rmse 0.063254, valid_mape 280.371429, valid_acc 0.599055, test_loss 0.004970, ic 0.004469, icir 0.053521, ric 0.016456, ricir 0.128874, prec@10 0.518519, prec@30 0.505213, test_mae 0.026570, test_rmse 0.068666, test_mape 466.270172, test_acc 0.538787
Epoch 23, train_loss 0.001412, train_ic 0.017932, train_icir 0.314243, train_ric 0.013917, train_ricir 0.156678, train_mae 0.024716, train_rmse 0.030012, train_mape 161.911423, train_acc 0.088165, valid_loss 0.0027881788, valid_ic -0.005553, valid_icir -0.145426, valid_ric 0.000742, valid_ricir 0.011950, valid_prec@10 0.552675, valid_prec@30 0.571742, valid_mae 0.029536, valid_rmse 0.063826, valid_mape 275.971466, valid_acc 0.232414, test_loss 0.004725, ic 0.003222, icir 0.046467, ric 0.005016, ricir 0.081581, prec@10 0.501235, prec@30 0.549931, test_mae 0.026364, test_rmse 0.067653, test_mape 406.433960, test_acc 0.383192
Epoch 24, train_loss 0.001406, train_ic 0.010710, train_icir 0.146190, train_ric 0.008136, train_ricir 0.069174, train_mae 0.016305, train_rmse 0.023800, train_mape 201.751968, train_acc 0.542326, valid_loss 0.0027268200, valid_ic 0.001553, valid_icir 0.044570, valid_ric 0.008471, valid_ricir 0.064333, valid_prec@10 0.540741, valid_prec@30 0.513855, valid_mae 0.021901, valid_rmse 0.059647, valid_mape 242.482132, valid_acc 0.692518, test_loss 0.004592, ic 0.003462, icir 0.057374, ric -0.004153, ricir -0.035972, prec@10 0.530041, prec@30 0.521674, test_mae 0.024744, test_rmse 0.065581, test_mape 446.777771, test_acc 0.551494
Epoch 25, train_loss 0.001362, train_ic 0.011944, train_icir 0.150022, train_ric 0.044566, train_ricir 0.376581, train_mae 0.023253, train_rmse 0.031180, train_mape 142.694473, train_acc 0.690622, valid_loss 0.0027966503, valid_ic -0.006380, valid_icir -0.136586, valid_ric 0.016573, valid_ricir 0.153331, valid_prec@10 0.465432, valid_prec@30 0.480796, valid_mae 0.033731, valid_rmse 0.064392, valid_mape 351.254120, valid_acc 0.196619, test_loss 0.004617, ic 0.003824, icir 0.051016, ric 0.036415, ricir 0.305759, prec@10 0.500823, prec@30 0.507819, test_mae 0.031208, test_rmse 0.067723, test_mape 558.285400, test_acc 0.365359
Epoch 26, train_loss 0.001348, train_ic 0.019680, train_icir 0.294399, train_ric 0.022697, train_ricir 0.202003, train_mae 0.017091, train_rmse 0.032700, train_mape 240.490692, train_acc 0.490347, valid_loss 0.0025490668, valid_ic -0.000039, valid_icir -0.001259, valid_ric 0.014426, valid_ricir 0.122089, valid_prec@10 0.541152, valid_prec@30 0.531276, valid_mae 0.028707, valid_rmse 0.060549, valid_mape 261.127441, valid_acc 0.253542, test_loss 0.004298, ic 0.003952, icir 0.066455, ric 0.000469, ricir 0.004412, prec@10 0.523868, prec@30 0.510700, test_mae 0.025907, test_rmse 0.064292, test_mape 386.349731, test_acc 0.381632
Epoch 27, train_loss 0.001354, train_ic 0.024690, train_icir 0.289511, train_ric -0.008107, train_ricir -0.070999, train_mae 0.044372, train_rmse 0.053045, train_mape 239.836151, train_acc 0.143481, valid_loss 0.0028658767, valid_ic 0.012479, valid_icir 0.316724, valid_ric 0.005790, valid_ricir 0.049059, valid_prec@10 0.529218, valid_prec@30 0.532510, valid_mae 0.023141, valid_rmse 0.057047, valid_mape 358.705933, valid_acc 0.741486, test_loss 0.004587, ic 0.005933, icir 0.126125, ric -0.020298, ricir -0.197756, prec@10 0.532099, prec@30 0.521674, test_mae 0.029909, test_rmse 0.065026, test_mape 652.792053, test_acc 0.583370
Epoch 28, train_loss 0.001320, train_ic 0.017510, train_icir 0.236819, train_ric 0.011284, train_ricir 0.106988, train_mae 0.015599, train_rmse 0.024614, train_mape 154.795303, train_acc 0.449859, valid_loss 0.0023702882, valid_ic 0.001701, valid_icir 0.047835, valid_ric 0.008583, valid_ricir 0.083467, valid_prec@10 0.530453, valid_prec@30 0.528532, valid_mae 0.022452, valid_rmse 0.056355, valid_mape 219.922379, valid_acc 0.594581, test_loss 0.004015, ic 0.004152, icir 0.065803, ric -0.000405, ricir -0.004788, prec@10 0.510700, prec@30 0.506859, test_mae 0.023005, test_rmse 0.061323, test_mape 340.880554, test_acc 0.494427
Epoch 29, train_loss 0.001316, train_ic 0.022822, train_icir 0.294583, train_ric 0.017365, train_ricir 0.153487, train_mae 0.029688, train_rmse 0.036407, train_mape 5461.105957, train_acc 0.205497, valid_loss 0.0024938523, valid_ic 0.001581, valid_icir 0.055478, valid_ric 0.016028, valid_ricir 0.139198, valid_prec@10 0.534979, valid_prec@30 0.528807, valid_mae 0.031098, valid_rmse 0.059308, valid_mape 307.532715, valid_acc 0.249814, test_loss 0.004084, ic 0.004289, icir 0.081001, ric -0.002197, ricir -0.020124, prec@10 0.524280, prec@30 0.511248, test_mae 0.028556, test_rmse 0.062714, test_mape 464.428711, test_acc 0.369148
Epoch 30, train_loss 0.001317, train_ic 0.012529, train_icir 0.191065, train_ric 0.013914, train_ricir 0.177234, train_mae 0.018097, train_rmse 0.023972, train_mape 305.321899, train_acc 0.425577, valid_loss 0.0026157989, valid_ic -0.007332, valid_icir -0.139706, valid_ric 0.002010, valid_ricir 0.022677, valid_prec@10 0.494650, valid_prec@30 0.503292, valid_mae 0.028504, valid_rmse 0.057713, valid_mape 331.816742, valid_acc 0.571961, test_loss 0.004140, ic 0.004126, icir 0.053857, ric 0.011387, ricir 0.136599, prec@10 0.507819, prec@30 0.514129, test_mae 0.027354, test_rmse 0.061703, test_mape 475.971497, test_acc 0.531654
Epoch 31, train_loss 0.001312, train_ic 0.011314, train_icir 0.188677, train_ric 0.022622, train_ricir 0.246883, train_mae 0.023323, train_rmse 0.027392, train_mape 416.548065, train_acc 0.329101, valid_loss 0.0024286418, valid_ic -0.002286, valid_icir -0.064214, valid_ric 0.007705, valid_ricir 0.114507, valid_prec@10 0.534979, valid_prec@30 0.513306, valid_mae 0.021213, valid_rmse 0.053032, valid_mape 280.748840, valid_acc 0.747949, test_loss 0.003919, ic 0.003518, icir 0.054968, ric 0.018430, ricir 0.272138, prec@10 0.522634, prec@30 0.509328, test_mae 0.025005, test_rmse 0.059093, test_mape 487.895538, test_acc 0.595854
Epoch 32, train_loss 0.001284, train_ic 0.015977, train_icir 0.210171, train_ric 0.035942, train_ricir 0.358489, train_mae 0.015212, train_rmse 0.021863, train_mape 103.888092, train_acc 0.849582, valid_loss 0.0026714525, valid_ic -0.006676, valid_icir -0.152463, valid_ric 0.012759, valid_ricir 0.134915, valid_prec@10 0.587654, valid_prec@30 0.578189, valid_mae 0.025484, valid_rmse 0.053950, valid_mape 380.115753, valid_acc 0.748198, test_loss 0.004085, ic 0.004224, icir 0.061936, ric 0.026626, ricir 0.279459, prec@10 0.533745, prec@30 0.547051, test_mae 0.028757, test_rmse 0.059878, test_mape 599.557800, test_acc 0.595631
Epoch 33, train_loss 0.001304, train_ic 0.010027, train_icir 0.138079, train_ric 0.010145, train_ricir 0.104050, train_mae 0.014898, train_rmse 0.019587, train_mape 407.477722, train_acc 0.601899, valid_loss 0.0023557665, valid_ic -0.004195, valid_icir -0.094845, valid_ric -0.004007, valid_ricir -0.040396, valid_prec@10 0.549383, valid_prec@30 0.520988, valid_mae 0.021900, valid_rmse 0.052213, valid_mape 263.307922, valid_acc 0.730549, test_loss 0.003758, ic 0.003839, icir 0.052420, ric 0.016085, ricir 0.133937, prec@10 0.539918, prec@30 0.524143, test_mae 0.024733, test_rmse 0.057858, test_mape 448.381958, test_acc 0.587383
Epoch 34, train_loss 0.001274, train_ic 0.017746, train_icir 0.233316, train_ric -0.019639, train_ricir -0.179687, train_mae 0.014914, train_rmse 0.024433, train_mape 143.444519, train_acc 0.698080, valid_loss 0.0023652695, valid_ic 0.007566, valid_icir 0.202091, valid_ric -0.006076, valid_ricir -0.061944, valid_prec@10 0.590535, valid_prec@30 0.547188, valid_mae 0.032793, valid_rmse 0.057643, valid_mape 317.338928, valid_acc 0.205071, test_loss 0.003711, ic 0.004265, icir 0.080243, ric -0.019088, ricir -0.226194, prec@10 0.549383, prec@30 0.537860, test_mae 0.027367, test_rmse 0.059171, test_mape 413.449371, test_acc 0.366028
Epoch 35, train_loss 0.001280, train_ic 0.022947, train_icir 0.334083, train_ric -0.000806, train_ricir -0.008830, train_mae 0.019332, train_rmse 0.024592, train_mape 211.124710, train_acc 0.108506, valid_loss 0.0021093048, valid_ic 0.001577, valid_icir 0.049569, valid_ric 0.004066, valid_ricir 0.072033, valid_prec@10 0.528395, valid_prec@30 0.538546, valid_mae 0.027411, valid_rmse 0.054238, valid_mape 243.921906, valid_acc 0.235894, test_loss 0.003473, ic 0.004074, icir 0.070758, ric -0.003918, ricir -0.075262, prec@10 0.510288, prec@30 0.510837, test_mae 0.024280, test_rmse 0.057115, test_mape 355.019867, test_acc 0.374498
Epoch 36, train_loss 0.001270, train_ic 0.024428, train_icir 0.325504, train_ric 0.031011, train_ricir 0.312846, train_mae 0.042842, train_rmse 0.051515, train_mape 258.336792, train_acc 0.163524, valid_loss 0.0021503757, valid_ic -0.004480, valid_icir -0.120784, valid_ric 0.011210, valid_ricir 0.132000, valid_prec@10 0.613580, valid_prec@30 0.578464, valid_mae 0.021184, valid_rmse 0.050498, valid_mape 219.250656, valid_acc 0.718121, test_loss 0.003445, ic 0.004134, icir 0.068429, ric 0.017344, ricir 0.230808, prec@10 0.562140, prec@30 0.549108, test_mae 0.022058, test_rmse 0.055267, test_mape 354.834259, test_acc 0.594293
Epoch 37, train_loss 0.001234, train_ic 0.019773, train_icir 0.237138, train_ric 0.012179, train_ricir 0.108599, train_mae 0.016572, train_rmse 0.025465, train_mape 142.099518, train_acc 0.842522, valid_loss 0.0020904593, valid_ic -0.004243, valid_icir -0.090158, valid_ric -0.000392, valid_ricir -0.003585, valid_prec@10 0.553498, valid_prec@30 0.534431, valid_mae 0.020947, valid_rmse 0.049995, valid_mape 229.062363, valid_acc 0.704947, test_loss 0.003379, ic 0.004297, icir 0.058865, ric 0.016123, ricir 0.135058, prec@10 0.521399, prec@30 0.526886, test_mae 0.022802, test_rmse 0.054978, test_mape 382.981812, test_acc 0.580027
Epoch 38, train_loss 0.001263, train_ic 0.010053, train_icir 0.149906, train_ric -0.011899, train_ricir -0.136840, train_mae 0.036516, train_rmse 0.044711, train_mape 272.512146, train_acc 0.214306, valid_loss 0.0022158224, valid_ic 0.001841, valid_icir 0.064553, valid_ric -0.006998, valid_ricir -0.103086, valid_prec@10 0.544444, valid_prec@30 0.552538, valid_mae 0.034210, valid_rmse 0.056543, valid_mape 351.525421, valid_acc 0.211285, test_loss 0.003487, ic 0.004391, icir 0.091417, ric -0.006769, ricir -0.113255, prec@10 0.515226, prec@30 0.507407, test_mae 0.029399, test_rmse 0.057879, test_mape 494.569153, test_acc 0.369371
Epoch 39, train_loss 0.001260, train_ic 0.035609, train_icir 0.431111, train_ric 0.021549, train_ricir 0.188599, train_mae 0.015226, train_rmse 0.024512, train_mape 64.662842, train_acc 0.959775, valid_loss 0.0020952003, valid_ic -0.000520, valid_icir -0.013377, valid_ric 0.003751, valid_ricir 0.035530, valid_prec@10 0.558025, valid_prec@30 0.575583, valid_mae 0.021337, valid_rmse 0.048870, valid_mape 244.600342, valid_acc 0.739249, test_loss 0.003327, ic 0.005371, icir 0.086516, ric 0.010557, ricir 0.114468, prec@10 0.550206, prec@30 0.532373, test_mae 0.023439, test_rmse 0.054032, test_mape 423.421906, test_acc 0.597414
Epoch 40, train_loss 0.001216, train_ic 0.029359, train_icir 0.323849, train_ric 0.019755, train_ricir 0.168765, train_mae 0.052092, train_rmse 0.061077, train_mape 102.986572, train_acc 0.610056, valid_loss 0.0019237293, valid_ic -0.000133, valid_icir -0.003099, valid_ric 0.001817, valid_ricir 0.015952, valid_prec@10 0.564198, valid_prec@30 0.542936, valid_mae 0.023884, valid_rmse 0.050215, valid_mape 204.150208, valid_acc 0.424062, test_loss 0.003141, ic 0.005224, icir 0.080745, ric 0.014495, ricir 0.131457, prec@10 0.524691, prec@30 0.527298, test_mae 0.021116, test_rmse 0.053144, test_mape 282.048157, test_acc 0.519394
